,2015-09-28,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25,2017-01-01,2017-01-08,2017-01-15,2017-01-22,2017-01-29,2017-02-05,2017-02-12,2017-02-19,2017-02-26,2017-03-05,2017-03-12,2017-03-19,2017-03-26,2017-04-02,2017-04-09,2017-04-16,2017-04-23,2017-04-30,2017-05-07,2017-05-14,2017-05-21
TV Shows,293000,312000,312000,312000,314000,314000,315000,316000,274000,291000,294000,297000,298000,300000,306565,332133,372957,385473,387299,424661,456967,505521,506432,507383,507383,518273,519430,521657,526837,551353,551813,637997,743003,831929,836461,839972,841062,842272,843516,846496,847996,848608,848840,850021,851578,853418,855872,855983,856598,856985,857372,857759,858146,858533,858920,867243,870335,873030,877383,879936,889709,892116,898038,914815,1236554,1241702,1246121,1333708,1337501,1352833,1467256,1489400,1489656,1512823,1524334,1600087,1631371,1643710,1653597,1670099,1682172,1691825,1704100,1718225,1731922,1752541,1761386
Movies,618000,618000,621000,625000,632000,632000,650000,659000,659000,658000,663000,683000,702000,703000,719411,716638,775248,789572,773127,766165,766126,770643,772114,772088,796511,796511,802056,806818,808919,811396,837106,869558,877175,877621,886095,893792,897330,905380,905380,906945,912025,914745,917305,942916,961934,979817,981886,985082,997622,1025716,1053810,1081904,1109998,1138092,1166186,1089809,1088043,1088502,1088502,1090367,1092560,1092560,1095438,1095438,1105340,1108918,1108918,1204063,1216965,1260509,1269459,1300991,1315733,1336656,1340168,1361242,1395701,1400180,1400180,1427888,1476917,1477567,1486522,1529636,1531236,1531236,1544557
Anime,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1500000,1500000,1577376,1586655,1588836,1606083,1606083,1616315,1655050,1655776,1656514,1657341,1657341,1657341,1657341,1657341,1660257,1660257,1685188,1685188,1685188,1685188,1743621,1743621,1743621,1743621,1746457,1746457,1752452,1752452,1754205,1834866,1835729,1850561,1855551,1856474,1856474,1857336,1856474,1857336,1856474,1857336,1856474,1938896,1938896,1938896,1948326,1948326,1948326,1952740,1952740,1952740,1952740,1952740,1952740,1949366,1949366,1949366,1949366,1959573,1959573,1959573,1959573,1959573,1959573,1978587,1978587,1978587,1982638,1982638,1982638,1982638,1982638,1982638,1982638
Special Libraries,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,137795,137795,137795,137795,137795,137795,137795,137795,137795,137795,137795,137795,137795,137795,137795,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776,122776
Clara User (/home/clara),63,184,184,216,368,368,154,184,213,245,278,349,387,387,133,132,168,202,98,103,103,99,99,99,99,99,99,99,99,99,99,134,134,134,134,134,134,151,151,151,246,246,246,246,246,257,257,257,257,268,279,290,301,312,323,269,269,269,109,333,333,333,334,337,362,362,362,362,362,880,881,883,883,326,326,329,329,329,329,345,356,356,356,369,369,369,420
Plex Server (/var/usr/PlexServer),6800,7100,7400,7600,8400,7400,7300,7300,8200,8100,8900,8900,8800,9500,8320,8568,8847,8311,8238,9385,9624,9203,8785,8366,7910,7381,6983,6772,7020,7410,7947,8658,9116,9642,9970,9769,9480,9328,9140,8811,9270,8786,8650,8763,9398,10007,10673,11264,9933,9202,8471,7740,7009,6278,5547,8068,7680,7234,6771,6933,6666,7376,7602,7846,8294,8498,8037,8307,8426,8420,8473,8413,8970,9357,10028,21591,21141,21290,21030,20498,20666,20589,20693,20749,9718,9702,9253
Music,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,50000,50000,50630,51174,51552,51914,51914,51914,51914,51917,51917,51917,52273,52273,52273,52273,52588,52588,52588,51985,51985,51985,53545,53545,53545,53545,53545,53545,54225,55518,55518,55518,55518,55518,55558,55562,55562,55640,55718,55796,55874,55952,56030,55846,55846,55846,55846,55846,55879,55846,55846,55844,56259,56259,56259,56259,56259,56259,56259,56259,56269,56412,56412,56412,56588,56588,56588,56588,56588,56837,56837,56837,56837,56837,56837
Backups,461000,465000,465000,465000,466000,466000,466000,466000,471000,471000,472000,472000,546000,541000,553728,553929,554800,556650,556847,557025,557209,526991,527176,527361,527544,527731,527919,528108,528258,528409,529080,529231,529416,529602,529790,530172,530554,530554,530744,530936,531130,531323,531503,531674,531846,532636,533189,533189,534290,534842,535394,535946,536498,537050,537602,536149,536993,537850,539446,539450,540422,541295,542174,669486,670423,679124,680141,665489,666514,667546,669131,670656,672240,673818,677001,679530,680590,681653,682786,683846,684934,686012,678822,680061,681613,559211,478941
Total Storage Used (/media/),2949639,2973060,2976360,2980592,2991544,2990544,3009230,3019260,2983189,2999121,3008954,3032025,3100000,3100000,3306192,3337888,3441216,3482781,3468336,3525705,3593230,3606754,3610059,3611997,3637270,3648500,3655390,3785036,3795697,3821180,3923799,4006888,4139545,4231235,4340040,4350739,4355750,4372022,4385063,4394877,4416251,4362840,4368322,4701434,4723602,4769288,4765809,4757636,4752650,4783053,4752651,4783053,4752652,4783053,4752653,4945843,4948263,4962002,4967925,4965619,4987725,4986341,4996703,6325257,5498564,5511451,5521092,5705817,5739050,5786048,5915933,5969522,5986210,5993521,6011758,6111184,6178162,6234117,6246069,6292999,6376703,6382495,6550764,6655489,6689943,6617030,6653657
DANISH,"1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,076","1,123,542","1,124,258","1,126,065","1,138,247","1,126,756","1,114,419","1,115,175","1,115,639","1,116,298","1,116,908","1,117,518","1,118,128","1,118,738","1,130,556","1,133,648","1,146,059","1,138,459","1,133,866","1,152,807","1,146,046","1,151,968","1,171,014","1,524,128","1,524,736","1,533,360","1,640,382","1,666,017","1,659,507","1,776,059","1,796,074","1,796,435","1,781,245","1,792,755","1,868,577","1,900,037","1,931,435","1,941,323","1,959,484","1,959,740","1,963,804","1,976,555","1,990,680","2,005,268","2,024,996","2,038,105"
