,TV Shows,Movies,Anime,Special Libraries,Clara User (/home/clara),Plex Server (/var/usr/PlexServer),Music,Backups,Total Storage Used (/media/),DANISH,ECLAIR,GRANOLA,MOCHI,MOUSSE
2015-09-28,293000,618000,1400000,122776,63,6800,48000,461000,2949639,1123076,1055732,576603,1611755,10838
2015-10-04,312000,618000,1400000,122776,184,7100,48000,465000,2973060,1123076,1055732,576603,1611755,10838
2015-10-11,312000,621000,1400000,122776,184,7400,48000,465000,2976360,1123076,1055732,576603,1611755,10838
2015-10-18,312000,625000,1400000,122776,216,7600,48000,465000,2980592,1123076,1055732,576603,1611755,10838
2015-10-25,314000,632000,1400000,122776,368,8400,48000,466000,2991544,1123076,1055732,576603,1611755,10838
2015-11-01,314000,632000,1400000,122776,368,7400,48000,466000,2990544,1123076,1055732,576603,1611755,10838
2015-11-08,315000,650000,1400000,122776,154,7300,48000,466000,3009230,1123076,1055732,576603,1611755,10838
2015-11-15,316000,659000,1400000,122776,184,7300,48000,466000,3019260,1123076,1055732,576603,1611755,10838
2015-11-22,274000,659000,1400000,122776,213,8200,48000,471000,2983189,1123076,1055732,576603,1611755,10838
2015-11-29,291000,658000,1400000,122776,245,8100,48000,471000,2999121,1123076,1055732,576603,1611755,10838
2015-12-06,294000,663000,1400000,122776,278,8900,48000,472000,3008954,1123076,1055732,576603,1611755,10838
2015-12-13,297000,683000,1400000,122776,349,8900,48000,472000,3032025,1123076,1055732,576603,1611755,10838
2015-12-20,298000,702000,1500000,122776,387,8800,50000,546000,3100000,1123076,1055732,576603,1611755,10838
2015-12-27,300000,703000,1500000,122776,387,9500,50000,541000,3100000,1123076,1055732,576603,1611755,10838
2016-01-03,306565,719411,1577376,122776,133,8320,50630,553728,3306192,1123076,1055732,576603,1611755,10838
2016-01-10,332133,716638,1586655,122776,132,8568,51174,553929,3337888,1123076,1055732,576603,1611755,10838
2016-01-17,372957,775248,1588836,122776,168,8847,51552,554800,3441216,1123076,1055732,576603,1611755,10838
2016-01-24,385473,789572,1606083,122776,202,8311,51914,556650,3482781,1123076,1055732,576603,1611755,10838
2016-01-31,387299,773127,1606083,122776,98,8238,51914,556847,3468336,1123076,1055732,576603,1611755,10838
2016-02-07,424661,766165,1616315,122776,103,9385,51914,557025,3525705,1123076,1055732,576603,1611755,10838
2016-02-14,456967,766126,1655050,122776,103,9624,51914,557209,3593230,1123076,1055732,576603,1611755,10838
2016-02-21,505521,770643,1655776,122776,99,9203,51917,526991,3606754,1123076,1055732,576603,1611755,10838
2016-02-28,506432,772114,1656514,122776,99,8785,51917,527176,3610059,1123076,1055732,576603,1611755,10838
2016-03-06,507383,772088,1657341,122776,99,8366,51917,527361,3611997,1123076,1055732,576603,1611755,10838
2016-03-13,507383,796511,1657341,122776,99,7910,52273,527544,3637270,1123076,1055732,576603,1611755,10838
2016-03-20,518273,796511,1657341,122776,99,7381,52273,527731,3648500,1123076,1055732,576603,1611755,10838
2016-03-27,519430,802056,1657341,122776,99,6983,52273,527919,3655390,1123076,1055732,576603,1611755,10838
2016-04-03,521657,806818,1657341,122776,99,6772,52273,528108,3785036,1123076,1055732,576603,1611755,10838
2016-04-10,526837,808919,1660257,122776,99,7020,52588,528258,3795697,1123076,1055732,576603,1611755,10838
2016-04-17,551353,811396,1660257,122776,99,7410,52588,528409,3821180,1123076,1055732,576603,1611755,10838
2016-04-24,551813,837106,1685188,122776,99,7947,52588,529080,3923799,1123076,1055732,576603,1611755,10838
2016-05-01,637997,869558,1685188,122776,134,8658,51985,529231,4006888,1123076,1055732,576603,1611755,10838
2016-05-08,743003,877175,1685188,137795,134,9116,51985,529416,4139545,1123076,1055732,576603,1611755,10838
2016-05-15,831929,877621,1685188,137795,134,9642,51985,529602,4231235,1123076,1055732,576603,1611755,10838
2016-05-22,836461,886095,1743621,137795,134,9970,53545,529790,4340040,1123076,1055732,576603,1611755,10838
2016-05-29,839972,893792,1743621,137795,134,9769,53545,530172,4350739,1123076,1055732,576603,1611755,10838
2016-06-05,841062,897330,1743621,137795,134,9480,53545,530554,4355750,1123076,1055732,576603,1611755,10838
2016-06-12,842272,905380,1743621,137795,151,9328,53545,530554,4372022,1123076,1055732,576603,1611755,10838
2016-06-19,843516,905380,1746457,137795,151,9140,53545,530744,4385063,1123076,1055732,576603,1611755,10838
2016-06-26,846496,906945,1746457,137795,151,8811,53545,530936,4394877,1123076,1055732,576603,1611755,10838
2016-07-03,847996,912025,1752452,137795,246,9270,54225,531130,4416251,1123076,1055732,576603,1611755,10838
2016-07-10,848608,914745,1752452,137795,246,8786,55518,531323,4362840,1123076,1055732,576603,1611755,10838
2016-07-17,848840,917305,1754205,137795,246,8650,55518,531503,4368322,1123542,1060044,576116,1611755,10838
2016-07-24,850021,942916,1834866,137795,246,8763,55518,531674,4701434,1124258,1166316,578183,1611755,10838
2016-07-31,851578,961934,1835729,137795,246,9398,55518,531846,4723602,1126065,1186197,578662,1611755,10838
2016-08-07,853418,979817,1850561,137795,257,10007,55518,532636,4769288,1138247,1218912,579452,1611755,10838
2016-08-14,855872,981886,1855551,137795,257,10673,55558,533189,4765809,1126756,1225971,580404,1611755,10838
2016-08-21,855983,985082,1856474,122776,257,11264,55562,533189,4757636,1114419,1230090,580450,1611755,10838
2016-08-28,856598,997622,1856474,122776,257,9933,55562,534290,4752650,1115175,1447300,581556,1611755,10838
2016-09-04,856985,1025716,1857336,122776,268,9202,55640,534842,4783053,1115639,1476256,582538,1611755,10838
2016-09-11,857372,1053810,1856474,122776,279,8471,55718,535394,4752651,1116298,1230090,583603,1611755,10838
2016-09-18,857759,1081904,1857336,122776,290,7740,55796,535946,4783053,1116908,1447301,584647,1611755,10838
2016-09-25,858146,1109998,1856474,122776,301,7009,55874,536498,4752652,1117518,1476256,585691,1611755,10838
2016-10-02,858533,1138092,1857336,122776,312,6278,55952,537050,4783053,1118128,1230090,586735,1611755,10838
